                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7338,                 4.5295,                 4.1723,                0.00056,                0.04869,                0.00052,                0.00015,                      0,                    inf,                      0,                 0.0811,                 0.0021,                 0.0021
                      1,                 3.4898,                 4.3705,                 4.0252,                0.00068,                 0.0598,                0.00052,                0.00013,                      0,                    inf,                      0,               0.061257,              0.0042574,              0.0042574
                      2,                 3.3056,                  4.158,                 3.8906,                0.00056,                0.04869,                0.00034,                0.00011,                      0,                    inf,                      0,               0.041371,              0.0063713,              0.0063713
                      3,                 3.2435,                 3.9033,                 3.7608,                0.00061,                 0.0549,                0.00036,                0.00013,                      0,                    inf,                      0,               0.021442,              0.0084416,              0.0084416
                      4,                 3.0973,                 3.7878,                 3.6727,                0.68952,                0.08333,                0.03354,                0.01133,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      5,                 2.9364,                 3.5721,                 3.4836,                 0.6799,                0.09444,                0.01115,                0.00358,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                 2.8453,                 3.3318,                 3.3615,                0.17818,                0.08889,                0.04757,                0.01356,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 2.7539,                 3.0645,                 3.2266,                0.49412,                0.17858,                0.11466,                0.04055,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                  2.601,                 2.8671,                 3.1091,                0.15226,                0.34214,                0.13187,                0.04691,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 2.5171,                 2.6847,                 2.9976,                0.11416,                0.27157,                0.10491,                0.03693,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 2.4043,                 2.5416,                  2.922,                 0.3431,                0.35523,                0.28754,                0.10683,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 2.3021,                 2.3646,                 2.8338,                 0.2774,                0.25229,                0.20685,                0.07604,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                 2.2312,                 2.2732,                 2.7193,                0.46022,                0.50784,                0.44324,                 0.1755,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                 2.1234,                 2.1209,                 2.6433,                0.45696,                0.42593,                0.41215,                0.21112,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                 2.1129,                 2.0653,                 2.6324,                 0.5654,                0.56073,                0.56718,                0.26343,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                 2.0124,                 1.9494,                 2.5173,                0.76883,                0.54575,                0.66841,                0.34605,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.9035,                 1.7918,                 2.3933,                0.73132,                0.66768,                 0.7589,                0.38291,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.8589,                 1.7392,                 2.3476,                0.49076,                0.42366,                0.57819,                0.28448,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.8414,                 1.6542,                 2.3423,                 0.6695,                0.67842,                0.71056,                0.37555,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                 1.7654,                 1.5681,                  2.277,                0.82016,                0.60392,                0.75567,                0.40518,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.7038,                 1.5865,                 2.2284,                0.68537,                0.70666,                0.76801,                0.42254,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                 1.6501,                 1.4705,                 2.1658,                0.72259,                0.81293,                0.81714,                0.48376,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                 1.6331,                 1.4238,                 2.1488,                 0.8921,                0.75131,                0.86497,                0.53815,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                 1.5347,                 1.3765,                 2.0706,                0.86269,                0.64168,                0.79961,                0.43926,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                 1.5486,                 1.3431,                 2.0921,                0.82711,                0.76773,                0.84739,                0.55695,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                  1.477,                 1.3075,                 2.0169,                0.79131,                0.75313,                0.80414,                0.50383,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                 1.4807,                 1.2827,                 1.9975,                0.84714,                0.77304,                0.87917,                0.57816,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                 1.4204,                 1.1707,                  1.956,                 0.8334,                 0.7704,                0.83155,                0.49767,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                 1.4227,                 1.2029,                 1.9275,                0.87487,                0.77138,                0.89806,                0.60352,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                  1.392,                 1.1862,                 1.8927,                0.81635,                0.86056,                0.86963,                0.57277,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                  1.377,                 1.1712,                 1.8849,                0.60609,                0.67386,                0.64908,                0.43472,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                 1.3209,                 1.1296,                 1.8293,                0.78955,                0.82258,                0.86969,                0.56837,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.3103,                 1.0931,                 1.8066,                0.87029,                0.81346,                0.90167,                 0.5964,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                 1.2993,                 1.0888,                 1.8152,                0.83508,                0.79641,                0.88353,                0.60264,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                 1.3047,                 1.0981,                 1.7964,                0.83791,                0.80214,                0.84979,                 0.5778,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                  1.302,                  1.062,                 1.8282,                0.87338,                 0.8423,                0.90115,                0.60362,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                 1.2704,                 1.0383,                  1.757,                 0.8449,                0.83103,                0.86123,                0.56699,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                 1.2411,                 1.0084,                  1.767,                0.79506,                0.84342,                0.83313,                0.52257,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                 1.2386,                 1.0044,                 1.7292,                0.84046,                 0.8268,                  0.897,                0.62002,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.2223,                0.98317,                 1.6996,                0.89107,                 0.9032,                0.92393,                0.62319,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.2145,                0.98209,                 1.7053,                0.72075,                0.77575,                0.81039,                0.51289,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.1841,                0.96864,                 1.7038,                0.82833,                0.83151,                 0.8629,                0.59761,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.2129,                 1.0062,                 1.7083,                0.86352,                0.77943,                0.83396,                0.57143,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.1766,                 0.9544,                 1.6589,                0.89975,                0.79154,                0.90494,                0.60051,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                 1.1592,                0.94192,                 1.6418,                0.90665,                0.83237,                0.92945,                0.61679,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                  1.167,                0.89216,                 1.6386,                0.81578,                0.88137,                0.85721,                0.58018,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.1396,                0.90455,                 1.6502,                 0.8376,                0.80959,                0.87095,                 0.5998,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
