                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.89414,                0.68284,                 1.3789,                0.92818,                0.90581,                 0.9468,                0.69968,                      0,                    inf,                      0,                 0.0811,                 0.0021,                 0.0021
                      1,                 0.9177,                0.66877,                 1.4122,                0.93325,                0.88651,                0.94832,                 0.6884,                      0,                    inf,                      0,               0.061279,              0.0042787,              0.0042787
                      2,                0.93949,                 0.6953,                 1.4399,                0.88612,                0.85061,                0.90186,                0.65218,                      0,                    inf,                      0,               0.041436,              0.0064357,              0.0064357
                      3,                0.99519,                 0.6864,                 1.4467,                0.91207,                0.87956,                0.91696,                0.62575,                      0,                    inf,                      0,               0.021571,              0.0085708,              0.0085708
                      4,                 1.0753,                0.75523,                 1.5183,                0.86063,                0.87241,                0.91948,                0.66236,                      0,                    inf,                      0,               0.009802,               0.009802,               0.009802
                      5,                 1.0619,                0.71803,                 1.5384,                0.78248,                  0.834,                0.79316,                0.58591,                      0,                    inf,                      0,               0.009802,               0.009802,               0.009802
                      6,                 1.0721,                 0.7588,                 1.5276,                 0.9063,                0.84996,                0.90046,                0.65442,                      0,                    inf,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0164,                0.76243,                 1.4858,                0.92416,                0.81904,                0.92744,                0.64098,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      8,                 1.0326,                0.75851,                 1.4969,                0.74414,                0.88725,                 0.7983,                0.53981,                      0,                    inf,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.0175,                0.74125,                 1.4953,                0.88681,                0.84917,                0.92278,                0.67075,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                     10,                0.99562,                0.74683,                 1.4965,                0.91609,                0.81169,                0.92396,                0.66856,                      0,                    inf,                      0,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.0373,                0.72504,                 1.5139,                0.90002,                0.86231,                0.91003,                0.65797,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                     12,                 1.0258,                0.72215,                 1.4859,                0.91796,                0.82594,                  0.901,                0.62665,                      0,                    inf,                      0,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.0128,                 0.7126,                 1.4754,                0.89902,                0.91857,                0.95573,                0.68938,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                     14,                 1.0017,                0.73647,                 1.4956,                0.89609,                0.76961,                0.85147,                0.60105,                      0,                    inf,                      0,              0.0093565,              0.0093565,              0.0093565
